id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
124;sierra;21/1/2020;12:00;1;11.5;0.60;87;10.9;20.5;51;1020.7
125;costa;21/1/2020;12:00;1;23.8;5.00;92;28.2;0.2;53;1013.3
126;oriente;21/1/2020;12:00;1;22.8;2.60;94;27.4;15.7;51;1016.3
127;sierra;22/1/2020;0:00;0;11.6;6.70;81;11.0;15.2;55;1018.1
128;costa;22/1/2020;0:00;0;26.0;1.00;84;30.9;135.5;51;1011.0
129;oriente;22/1/2020;0:00;0;19.9;0.40;95;23.1;6.0;51;1015.3
130;sierra;22/1/2020;12:00;1;14.7;2.00;100;15.4;324.7;51;1018.2
131;costa;22/1/2020;12:00;1;24.2;1.40;93;29.2;0.5;51;1013.9
132;oriente;22/1/2020;12:00;1;23.3;0.30;78;25.9;41.3;51;1016.0
133;sierra;23/1/2020;0:00;0;10.9;0.80;84;10.3;19.3;51;1018.8
134;costa;23/1/2020;0:00;0;27.4;0.50;75;32.0;254.0;51;1009.4
135;oriente;23/1/2020;0:00;0;19.6;0.00;95;22.4;9.3;1;1015.8
136;sierra;23/1/2020;12:00;1;12.6;5.00;100;12.5;228.5;53;1018.7
137;costa;23/1/2020;12:00;1;23.9;2.70;93;28.1;0.5;51;1012.6
138;oriente;23/1/2020;12:00;1;23.3;1.50;79;25.6;162.3;51;1015.5
139;sierra;24/1/2020;0:00;0;10.0;2.00;95;9.3;0.8;51;1019.3
140;costa;24/1/2020;0:00;0;25.6;2.40;88;30.8;201.2;51;1010.1
141;oriente;24/1/2020;0:00;0;21.7;1.40;82;24.0;3.7;51;1015.7
142;sierra;24/1/2020;12:00;1;14.0;3.30;89;13.2;162.3;53;1018.9
143;costa;24/1/2020;12:00;1;23.7;0.20;96;28.8;0.2;51;1012.7
144;oriente;24/1/2020;12:00;1;24.2;1.20;75;26.8;176.2;51;1016.2
145;sierra;25/1/2020;0:00;0;9.8;2.60;99;9.3;0.5;51;1021.6
146;costa;25/1/2020;0:00;0;27.6;0.00;83;33.2;281.2;3;1009.9
147;oriente;25/1/2020;0:00;0;20.0;1.00;96;23.2;0.5;51;1016.4
148;sierra;25/1/2020;12:00;1;12.8;5.40;90;11.8;175.0;53;1020.7
149;costa;25/1/2020;12:00;1;24.2;2.70;91;28.6;0.0;51;1012.6
150;oriente;25/1/2020;12:00;1;23.1;1.20;98;27.9;64.2;51;1017.1
151;sierra;26/1/2020;0:00;0;9.6;2.00;99;9.3;2.5;51;1021.9
152;costa;26/1/2020;0:00;0;26.5;31.00;93;32.6;80.3;63;1011.7
