id;region;fecha;hora;es_dia;temperatura_2m;lluvia_mm;humedad_relativa_2m;temperatura_aparente;radiacion_directa;cod_clima;presion_msl
4872;oriente;22/3/2022;12:00;1;21.6;3.20;90;25.2;21.3;53;1015.4
4873;sierra;23/3/2022;0:00;0;9.6;0.20;89;8.5;7.3;51;1018.6
4874;costa;23/3/2022;0:00;0;25.5;13.20;90;30.8;161.5;61;1007.9
4875;oriente;23/3/2022;0:00;0;19.1;11.10;98;22.0;2.5;61;1014.2
4876;sierra;23/3/2022;12:00;1;12.3;0.40;82;11.2;197.2;51;1020.0
4877;costa;23/3/2022;12:00;1;24.0;0.00;96;29.2;0.7;3;1010.8
4878;oriente;23/3/2022;12:00;1;25.7;3.10;72;29.5;213.0;53;1014.2
4879;sierra;24/3/2022;0:00;0;9.2;0.20;91;8.4;8.3;51;1019.8
4880;costa;24/3/2022;0:00;0;25.6;4.90;89;31.1;238.3;53;1008.3
4881;oriente;24/3/2022;0:00;0;18.8;8.50;98;21.3;0.3;61;1014.5
4882;sierra;24/3/2022;12:00;1;10.2;2.70;98;9.2;9.7;51;1020.2
4883;costa;24/3/2022;12:00;1;24.3;2.00;90;28.9;0.3;51;1010.7
4884;oriente;24/3/2022;12:00;1;26.0;4.40;66;29.3;237.3;53;1014.2
4885;sierra;25/3/2022;0:00;0;9.9;0.10;74;8.5;12.5;51;1019.2
4886;costa;25/3/2022;0:00;0;27.1;0.10;78;31.8;312.3;51;1007.4
4887;oriente;25/3/2022;0:00;0;18.8;10.50;99;21.0;5.8;61;1014.1
4888;sierra;25/3/2022;12:00;1;11.5;0.20;88;10.7;217.3;51;1019.6
4889;costa;25/3/2022;12:00;1;23.4;0.50;95;27.9;0.5;51;1010.5
4890;oriente;25/3/2022;12:00;1;25.4;1.50;75;29.4;220.2;51;1014.5
4891;sierra;26/3/2022;0:00;0;9.7;0.00;83;8.6;2.3;3;1019.3
4892;costa;26/3/2022;0:00;0;25.7;12.40;93;31.6;81.0;61;1008.4
4893;oriente;26/3/2022;0:00;0;18.8;11.20;98;21.5;6.0;61;1014.6
4894;sierra;26/3/2022;12:00;1;11.6;0.30;92;11.0;78.3;51;1019.1
4895;costa;26/3/2022;12:00;1;23.7;13.50;92;28.4;0.0;61;1011.9
4896;oriente;26/3/2022;12:00;1;21.3;6.10;92;24.8;7.3;55;1015.8
4897;sierra;27/3/2022;0:00;0;9.0;0.00;87;7.7;2.0;3;1019.0
4898;costa;27/3/2022;0:00;0;25.5;0.00;86;30.4;237.8;3;1009.7
4899;oriente;27/3/2022;0:00;0;18.7;4.00;99;21.4;5.8;53;1014.1
4900;sierra;27/3/2022;12:00;1;11.2;0.30;88;10.1;116.2;51;1019.7
4901;costa;27/3/2022;12:00;1;23.4;0.00;99;28.4;0.3;3;1010.5
4902;oriente;27/3/2022;12:00;1;22.8;4.00;84;26.5;36.5;53;1015.2
4903;sierra;28/3/2022;0:00;0;9.1;1.10;85;7.9;4.2;51;1020.6
4904;costa;28/3/2022;0:00;0;25.0;23.50;90;30.5;114.2;63;1009.9
4905;oriente;28/3/2022;0:00;0;19.7;7.70;99;22.9;0.0;55;1016.2
4906;sierra;28/3/2022;12:00;1;9.7;1.00;91;8.7;25.0;51;1021.9
4907;costa;28/3/2022;12:00;1;24.1;0.00;97;29.9;0.0;3;1011.1
4908;oriente;28/3/2022;12:00;1;22.4;6.40;90;26.2;42.7;55;1016.2
4909;sierra;29/3/2022;0:00;0;9.6;0.70;89;8.7;3.3;51;1021.2
4910;costa;29/3/2022;0:00;0;24.8;24.50;94;30.0;20.5;63;1009.9
4911;oriente;29/3/2022;0:00;0;18.7;4.00;99;21.3;0.0;53;1016.9
4912;sierra;29/3/2022;12:00;1;9.7;0.50;91;8.9;11.7;51;1021.9
4913;costa;29/3/2022;12:00;1;23.8;1.90;97;28.7;0.0;51;1012.6
4914;oriente;29/3/2022;12:00;1;21.3;12.30;88;23.8;14.3;61;1016.9
4915;sierra;30/3/2022;0:00;0;10.0;0.60;91;9.6;1.2;51;1019.3
4916;costa;30/3/2022;0:00;0;25.7;12.20;92;31.4;172.7;61;1009.2
4917;oriente;30/3/2022;0:00;0;18.8;0.00;93;21.0;6.3;3;1014.8
4918;sierra;30/3/2022;12:00;1;11.3;1.00;91;10.3;49.0;51;1019.6
4919;costa;30/3/2022;12:00;1;23.9;0.00;99;29.5;1.2;2;1010.7
4920;oriente;30/3/2022;12:00;1;23.8;0.60;76;27.0;32.8;51;1014.9
4921;sierra;31/3/2022;0:00;0;9.4;0.90;93;8.7;6.7;51;1018.4
4922;costa;31/3/2022;0:00;0;25.3;3.40;90;30.2;288.5;53;1007.6
4923;oriente;31/3/2022;0:00;0;18.8;0.30;91;21.2;4.5;51;1013.5
4924;sierra;31/3/2022;12:00;1;11.5;1.80;91;10.7;41.3;51;1019.2
4925;costa;31/3/2022;12:00;1;23.3;1.60;95;27.8;0.2;51;1010.6
4926;oriente;31/3/2022;12:00;1;25.0;1.30;73;28.5;231.8;51;1014.0
4927;sierra;1/4/2022;0:00;0;9.1;0.50;93;8.1;3.5;51;1020.2
4928;costa;1/4/2022;0:00;0;24.6;13.10;91;28.9;200.0;61;1008.9
4929;oriente;1/4/2022;0:00;0;18.6;9.80;97;21.0;7.0;61;1015.3
4930;sierra;1/4/2022;12:00;1;10.6;0.70;90;9.6;194.8;51;1020.6
4931;costa;1/4/2022;12:00;1;23.4;5.90;97;27.9;0.0;53;1011.9
4932;oriente;1/4/2022;12:00;1;25.3;2.60;74;28.9;260.7;51;1015.3
4933;sierra;2/4/2022;0:00;0;8.5;3.20;99;7.7;11.3;53;1021.7
4934;costa;2/4/2022;0:00;0;27.0;0.30;80;31.7;208.7;51;1008.9
4935;oriente;2/4/2022;0:00;0;18.7;9.30;95;20.7;2.0;61;1016.5
4936;sierra;2/4/2022;12:00;1;10.1;4.10;85;9.0;2.7;53;1022.2
4937;costa;2/4/2022;12:00;1;24.4;0.50;92;29.2;0.5;51;1011.5
4938;oriente;2/4/2022;12:00;1;25.1;0.30;72;28.6;212.0;51;1015.6
4939;sierra;3/4/2022;0:00;0;9.7;0.00;74;8.0;0.7;2;1020.4
4940;costa;3/4/2022;0:00;0;25.5;12.40;90;31.1;169.5;61;1009.1
4941;oriente;3/4/2022;0:00;0;19.9;0.00;86;21.8;0.7;3;1015.6
4942;sierra;3/4/2022;12:00;1;11.8;0.00;82;10.7;257.2;2;1020.2
4943;costa;3/4/2022;12:00;1;23.6;0.10;92;28.3;0.3;51;1011.0
4944;oriente;3/4/2022;12:00;1;26.1;0.30;57;27.7;156.8;51;1013.8
4945;sierra;4/4/2022;0:00;0;9.0;0.00;86;7.9;15.7;1;1019.3
4946;costa;4/4/2022;0:00;0;27.1;0.70;78;31.4;249.2;51;1007.9
4947;oriente;4/4/2022;0:00;0;19.8;0.10;90;22.0;5.2;51;1014.2
4948;sierra;4/4/2022;12:00;1;11.8;0.00;79;10.7;237.5;1;1020.5
4949;costa;4/4/2022;12:00;1;23.6;0.10;90;27.9;0.5;51;1010.8
4950;oriente;4/4/2022;12:00;1;25.5;0.50;71;29.0;206.0;51;1015.0
4951;sierra;5/4/2022;0:00;0;9.7;0.00;83;8.8;9.3;1;1019.0
4952;costa;5/4/2022;0:00;0;24.9;6.30;93;30.0;179.2;55;1008.5
4953;oriente;5/4/2022;0:00;0;19.2;0.00;93;21.5;4.8;1;1014.3
4954;sierra;5/4/2022;12:00;1;11.2;0.50;84;10.1;283.0;51;1021.5
4955;costa;5/4/2022;12:00;1;24.0;0.00;93;28.5;1.0;3;1010.1
4956;oriente;5/4/2022;12:00;1;25.2;2.90;76;28.8;228.3;51;1015.5
4957;sierra;6/4/2022;0:00;0;8.7;0.30;88;7.6;3.3;51;1020.2
4958;costa;6/4/2022;0:00;0;26.5;3.10;83;31.1;215.5;53;1007.7
4959;oriente;6/4/2022;0:00;0;19.7;3.00;95;22.5;4.2;53;1014.6
4960;sierra;6/4/2022;12:00;1;10.9;0.60;90;10.2;99.2;51;1021.2
4961;costa;6/4/2022;12:00;1;23.5;0.00;87;27.7;1.2;3;1010.2
4962;oriente;6/4/2022;12:00;1;23.6;6.10;85;27.7;44.3;55;1015.5
4963;sierra;7/4/2022;0:00;0;8.9;0.00;96;8.2;11.2;3;1020.8
4964;costa;7/4/2022;0:00;0;26.1;1.60;86;31.3;221.0;51;1008.8
4965;oriente;7/4/2022;0:00;0;19.6;0.00;87;21.4;10.0;3;1014.2
4966;sierra;7/4/2022;12:00;1;11.9;0.20;82;10.7;207.5;51;1020.9
4967;costa;7/4/2022;12:00;1;23.3;0.00;97;28.1;1.7;3;1010.7
4968;oriente;7/4/2022;12:00;1;26.0;0.60;62;27.8;302.0;51;1014.3
4969;sierra;8/4/2022;0:00;0;6.9;0.50;96;5.8;14.0;51;1019.0
4970;costa;8/4/2022;0:00;0;27.1;4.70;90;33.4;254.5;53;1008.2
4971;oriente;8/4/2022;0:00;0;19.4;0.90;94;21.9;3.2;51;1014.8
4972;sierra;8/4/2022;12:00;1;11.0;1.00;93;10.5;83.5;51;1020.5
4973;costa;8/4/2022;12:00;1;22.8;11.70;88;26.7;0.5;61;1012.2
4974;oriente;8/4/2022;12:00;1;24.9;0.40;76;28.4;280.5;51;1014.6
4975;sierra;9/4/2022;0:00;0;9.7;0.00;93;9.3;9.0;3;1019.2
4976;costa;9/4/2022;0:00;0;26.9;0.10;79;31.4;187.5;51;1008.5
4977;oriente;9/4/2022;0:00;0;18.9;0.30;97;21.2;7.7;51;1014.4
4978;sierra;9/4/2022;12:00;1;11.2;0.80;89;10.3;139.7;51;1020.8
4979;costa;9/4/2022;12:00;1;23.7;3.20;95;28.4;0.0;53;1012.3
4980;oriente;9/4/2022;12:00;1;22.9;4.90;89;27.0;87.8;53;1016.2
4981;sierra;10/4/2022;0:00;0;9.8;0.70;85;8.9;0.3;51;1019.9
4982;costa;10/4/2022;0:00;0;25.4;0.20;90;30.1;68.8;51;1009.1
4983;oriente;10/4/2022;0:00;0;20.0;3.60;92;22.7;0.5;53;1014.6
4984;sierra;10/4/2022;12:00;1;10.1;1.80;98;9.2;30.0;51;1020.8
4985;costa;10/4/2022;12:00;1;23.4;2.00;93;28.0;0.2;51;1010.8
4986;oriente;10/4/2022;12:00;1;24.2;4.40;80;28.2;79.5;53;1015.0
4987;sierra;11/4/2022;0:00;0;9.3;0.30;90;8.4;1.0;51;1018.7
4988;costa;11/4/2022;0:00;0;25.9;11.90;91;31.7;171.2;61;1008.6
4989;oriente;11/4/2022;0:00;0;19.0;0.10;95;21.4;5.3;51;1013.3
4990;sierra;11/4/2022;12:00;1;11.7;0.50;91;11.0;188.5;51;1020.0
4991;costa;11/4/2022;12:00;1;22.3;0.00;95;26.7;1.7;3;1010.7
4992;oriente;11/4/2022;12:00;1;25.5;4.90;71;29.2;142.7;53;1014.5
4993;sierra;12/4/2022;0:00;0;8.9;0.70;96;8.2;5.5;51;1019.8
4994;costa;12/4/2022;0:00;0;26.3;1.70;86;31.3;300.5;51;1007.6
4995;oriente;12/4/2022;0:00;0;19.2;17.00;100;21.7;1.2;63;1014.8
4996;sierra;12/4/2022;12:00;1;10.0;5.10;91;8.4;17.0;53;1020.5
4997;costa;12/4/2022;12:00;1;23.0;0.10;86;26.3;1.2;51;1010.0
4998;oriente;12/4/2022;12:00;1;26.6;0.10;67;29.6;304.7;51;1013.7
4999;sierra;13/4/2022;0:00;0;10.1;0.20;79;8.8;12.8;51;1019.3
5000;costa;13/4/2022;0:00;0;26.0;0.70;89;31.7;198.7;51;1008.9
5001;oriente;13/4/2022;0:00;0;20.0;7.20;89;22.6;0.3;55;1013.3
5002;sierra;13/4/2022;12:00;1;9.6;4.40;93;8.4;4.7;53;1020.6
5003;costa;13/4/2022;12:00;1;22.6;0.00;89;26.7;0.2;3;1010.4
5004;oriente;13/4/2022;12:00;1;26.8;0.00;64;29.4;290.7;3;1013.5
5005;sierra;14/4/2022;0:00;0;8.7;1.90;91;7.5;12.7;51;1019.7
5006;costa;14/4/2022;0:00;0;25.9;1.20;82;29.9;212.7;51;1008.1
5007;oriente;14/4/2022;0:00;0;20.4;0.10;91;23.3;5.2;51;1013.3
5008;sierra;14/4/2022;12:00;1;10.3;1.10;86;9.6;10.0;51;1020.3
5009;costa;14/4/2022;12:00;1;22.2;3.90;92;26.2;0.0;53;1009.9
5010;oriente;14/4/2022;12:00;1;26.9;0.20;63;29.9;235.3;51;1013.1
5011;sierra;15/4/2022;0:00;0;8.7;0.30;91;7.4;12.5;51;1019.9
5012;costa;15/4/2022;0:00;0;25.6;1.00;87;30.4;156.2;51;1008.9
5013;oriente;15/4/2022;0:00;0;19.6;4.90;94;22.2;4.3;53;1014.2
5014;sierra;15/4/2022;12:00;1;9.7;3.50;100;9.1;17.5;53;1021.3
5015;costa;15/4/2022;12:00;1;21.7;0.00;98;26.1;1.2;3;1009.7
5016;oriente;15/4/2022;12:00;1;26.1;0.10;68;29.0;243.0;51;1014.4
5017;sierra;16/4/2022;0:00;0;9.1;0.20;86;7.8;7.5;51;1020.4
5018;costa;16/4/2022;0:00;0;26.3;2.60;82;30.5;247.8;51;1008.1
5019;oriente;16/4/2022;0:00;0;18.9;0.00;89;20.5;11.0;3;1013.6
5020;sierra;16/4/2022;12:00;1;11.0;0.30;85;10.0;168.7;51;1021.0
5021;costa;16/4/2022;12:00;1;22.5;0.00;88;26.1;2.2;3;1010.3
5022;oriente;16/4/2022;12:00;1;22.1;2.50;92;25.7;5.7;51;1015.3
5023;sierra;17/4/2022;0:00;0;8.0;0.70;97;7.2;0.8;51;1019.6
5024;costa;17/4/2022;0:00;0;26.9;5.70;86;32.9;253.2;53;1009.3
5025;oriente;17/4/2022;0:00;0;20.4;0.00;89;22.9;1.2;3;1014.8
5026;sierra;17/4/2022;12:00;1;10.7;1.70;91;9.8;33.5;51;1020.5
5027;costa;17/4/2022;12:00;1;22.1;0.00;87;25.2;1.7;3;1011.0
5028;oriente;17/4/2022;12:00;1;22.3;1.30;89;26.0;22.0;51;1015.5
5029;sierra;18/4/2022;0:00;0;9.1;1.40;99;8.6;5.3;51;1020.4
5030;costa;18/4/2022;0:00;0;25.6;2.10;86;30.2;180.7;51;1009.3
5031;oriente;18/4/2022;0:00;0;18.7;0.00;95;21.0;5.5;3;1015.3
5032;sierra;18/4/2022;12:00;1;10.7;1.30;89;9.7;60.8;51;1020.6
5033;costa;18/4/2022;12:00;1;22.8;0.00;86;26.5;2.2;3;1012.2
5034;oriente;18/4/2022;12:00;1;25.1;3.30;73;27.8;323.0;53;1014.7
5035;sierra;19/4/2022;0:00;0;8.7;14.00;100;7.4;0.5;61;1021.3
5036;costa;19/4/2022;0:00;0;25.7;2.40;82;29.8;233.7;51;1010.4
5037;oriente;19/4/2022;0:00;0;19.8;3.40;99;23.1;0.5;53;1016.6
5038;sierra;19/4/2022;12:00;1;11.7;4.40;85;10.4;25.0;53;1021.1
5039;costa;19/4/2022;12:00;1;22.5;2.50;93;26.3;0.0;51;1012.9
5040;oriente;19/4/2022;12:00;1;20.3;6.80;97;23.8;0.8;55;1018.1
5041;sierra;20/4/2022;0:00;0;9.7;0.80;81;8.5;8.0;51;1020.6
5042;costa;20/4/2022;0:00;0;27.2;0.60;80;32.5;174.5;51;1011.1
5043;oriente;20/4/2022;0:00;0;20.1;5.50;90;22.8;1.5;53;1017.3
5044;sierra;20/4/2022;12:00;1;12.0;3.80;79;10.5;101.2;53;1020.5
5045;costa;20/4/2022;12:00;1;23.0;0.80;96;27.8;0.0;51;1014.2
5046;oriente;20/4/2022;12:00;1;21.5;0.60;82;23.8;29.2;51;1018.1
5047;sierra;21/4/2022;0:00;0;9.9;7.10;87;9.0;0.0;55;1020.6
5048;costa;21/4/2022;0:00;0;24.2;25.50;95;29.5;124.5;63;1012.8
5049;oriente;21/4/2022;0:00;0;19.6;1.90;99;22.9;7.0;51;1017.6
5050;sierra;21/4/2022;12:00;1;10.9;3.40;94;10.0;69.3;53;1021.8
5051;costa;21/4/2022;12:00;1;23.5;2.50;96;28.2;0.0;51;1013.5
5052;oriente;21/4/2022;12:00;1;23.2;1.00;82;26.4;134.3;51;1017.7
5053;sierra;22/4/2022;0:00;0;9.4;0.90;92;8.5;9.5;51;1019.8
5054;costa;22/4/2022;0:00;0;26.3;2.90;88;31.6;253.3;51;1011.0
5055;oriente;22/4/2022;0:00;0;19.1;0.40;98;21.9;7.0;51;1017.0
5056;sierra;22/4/2022;12:00;1;10.8;9.10;87;10.0;170.8;61;1020.5
5057;costa;22/4/2022;12:00;1;23.1;0.00;98;27.2;1.8;1;1013.9
5058;oriente;22/4/2022;12:00;1;23.6;0.80;79;26.3;186.3;51;1016.4
5059;sierra;23/4/2022;0:00;0;10.8;3.70;79;10.0;4.2;53;1017.7
5060;costa;23/4/2022;0:00;0;23.5;1.10;94;28.0;288.8;51;1011.1
5061;oriente;23/4/2022;0:00;0;17.7;0.10;97;19.8;1.0;51;1015.8
5062;sierra;23/4/2022;12:00;1;12.9;2.00;89;12.6;276.3;51;1017.4
5063;costa;23/4/2022;12:00;1;23.4;0.40;97;28.1;0.0;51;1012.1
5064;oriente;23/4/2022;12:00;1;23.4;1.50;80;26.1;203.3;51;1015.0
5065;sierra;24/4/2022;0:00;0;10.0;5.10;86;8.9;3.0;53;1017.0
5066;costa;24/4/2022;0:00;0;25.8;12.10;90;31.4;250.2;61;1008.9
5067;oriente;24/4/2022;0:00;0;19.6;1.30;96;22.4;6.2;51;1014.5
5068;sierra;24/4/2022;12:00;1;9.8;3.50;97;9.2;43.7;53;1020.0
5069;costa;24/4/2022;12:00;1;22.9;0.50;91;27.1;0.8;51;1011.9
5070;oriente;24/4/2022;12:00;1;23.7;1.20;78;26.9;58.7;51;1014.1
5071;sierra;25/4/2022;0:00;0;8.3;2.00;98;7.7;2.0;51;1019.5
5072;costa;25/4/2022;0:00;0;25.9;2.00;82;30.0;278.8;51;1008.7
5073;oriente;25/4/2022;0:00;0;19.3;7.30;99;22.1;0.8;55;1015.1
5074;sierra;25/4/2022;12:00;1;10.4;0.70;90;9.5;56.0;51;1020.7
5075;costa;25/4/2022;12:00;1;22.6;0.30;89;26.1;1.8;51;1011.5
5076;oriente;25/4/2022;12:00;1;21.3;7.50;89;24.4;10.2;55;1017.3
5077;sierra;26/4/2022;0:00;0;9.4;0.10;86;8.3;7.7;51;1019.3
5078;costa;26/4/2022;0:00;0;25.9;0.00;79;29.2;242.2;3;1008.7
5079;oriente;26/4/2022;0:00;0;17.4;0.90;94;19.2;2.8;51;1014.8
5080;sierra;26/4/2022;12:00;1;11.2;0.00;84;10.1;215.3;3;1020.6
5081;costa;26/4/2022;12:00;1;22.7;0.10;89;26.0;2.3;51;1011.7
5082;oriente;26/4/2022;12:00;1;26.1;0.70;59;27.9;331.7;51;1014.3
5083;sierra;27/4/2022;0:00;0;9.5;0.10;95;9.0;11.2;51;1019.9
5084;costa;27/4/2022;0:00;0;24.9;0.30;81;28.2;155.8;51;1009.7
5085;oriente;27/4/2022;0:00;0;18.4;0.00;91;20.5;10.7;2;1014.8
5086;sierra;27/4/2022;12:00;1;10.9;2.40;85;9.5;235.3;51;1020.3
5087;costa;27/4/2022;12:00;1;22.1;0.60;92;25.9;2.0;51;1011.3
5088;oriente;27/4/2022;12:00;1;25.6;0.40;74;29.3;356.7;51;1014.2
5089;sierra;28/4/2022;0:00;0;9.9;0.20;88;9.3;10.7;51;1018.1
5090;costa;28/4/2022;0:00;0;26.3;0.40;84;31.2;231.0;51;1008.2
5091;oriente;28/4/2022;0:00;0;19.3;0.00;92;21.8;5.7;3;1013.9
5092;sierra;28/4/2022;12:00;1;10.1;0.80;94;9.2;66.3;51;1021.1
5093;costa;28/4/2022;12:00;1;22.4;0.00;89;25.8;0.0;3;1011.4
5094;oriente;28/4/2022;12:00;1;24.1;0.20;78;27.1;126.7;51;1015.5
5095;sierra;29/4/2022;0:00;0;8.3;1.00;95;6.9;2.7;51;1019.1
5096;costa;29/4/2022;0:00;0;25.7;0.00;82;29.6;71.2;3;1008.7
5097;oriente;29/4/2022;0:00;0;18.2;0.00;97;20.5;3.0;1;1014.2
5098;sierra;29/4/2022;12:00;1;9.7;2.00;91;8.6;42.0;51;1022.1
5099;costa;29/4/2022;12:00;1;22.1;0.00;94;26.1;1.2;1;1009.9
5100;oriente;29/4/2022;12:00;1;23.8;0.60;76;26.6;196.8;51;1016.1
5101;sierra;30/4/2022;0:00;0;8.5;1.90;100;7.6;2.7;51;1021.9
5102;costa;30/4/2022;0:00;0;25.6;0.40;80;28.2;260.8;51;1008.2
5103;oriente;30/4/2022;0:00;0;19.2;0.00;87;20.8;5.7;3;1016.4
5104;sierra;30/4/2022;12:00;1;8.3;10.80;93;6.7;0.8;61;1023.4
5105;costa;30/4/2022;12:00;1;22.8;0.00;85;25.9;2.3;2;1010.7
5106;oriente;30/4/2022;12:00;1;23.4;1.90;75;25.3;139.3;51;1016.7
5107;sierra;1/5/2022;0:00;0;8.2;0.40;69;6.3;0.0;51;1021.3
5108;costa;1/5/2022;0:00;0;26.6;0.30;79;30.9;176.0;51;1008.3
5109;oriente;1/5/2022;0:00;0;18.4;0.00;82;19.3;5.7;3;1016.4
5110;sierra;1/5/2022;12:00;1;11.2;0.20;82;9.8;156.0;51;1021.6
5111;costa;1/5/2022;12:00;1;23.0;0.00;88;26.8;1.3;3;1011.1
5112;oriente;1/5/2022;12:00;1;25.3;0.00;60;26.5;217.8;2;1015.8
5113;sierra;2/5/2022;0:00;0;9.3;0.00;80;8.3;3.5;2;1020.9
5114;costa;2/5/2022;0:00;0;25.7;0.20;82;29.5;206.2;51;1009.8
5115;oriente;2/5/2022;0:00;0;18.2;0.00;89;19.6;9.7;2;1015.4
5116;sierra;2/5/2022;12:00;1;10.8;0.70;87;10.0;264.0;51;1022.4
5117;costa;2/5/2022;12:00;1;23.2;0.00;89;27.2;1.2;3;1012.0
5118;oriente;2/5/2022;12:00;1;25.8;0.20;66;28.4;240.7;51;1016.2
5119;sierra;3/5/2022;0:00;0;9.0;0.10;92;8.2;6.3;51;1020.7
5120;costa;3/5/2022;0:00;0;26.7;0.10;78;30.5;159.3;51;1008.4
5121;oriente;3/5/2022;0:00;0;19.1;0.10;92;21.2;5.0;51;1015.5
5122;sierra;3/5/2022;12:00;1;11.2;0.50;86;10.4;179.2;51;1022.1
5123;costa;3/5/2022;12:00;1;23.2;0.00;87;26.8;1.2;3;1010.7
5124;oriente;3/5/2022;12:00;1;26.3;1.50;65;29.0;292.0;51;1015.8
5125;sierra;4/5/2022;0:00;0;9.9;0.00;80;8.6;4.7;3;1020.6
5126;costa;4/5/2022;0:00;0;26.3;0.60;78;30.3;157.8;51;1009.7
5127;oriente;4/5/2022;0:00;0;19.9;0.50;88;22.0;8.2;51;1015.0
5128;sierra;4/5/2022;12:00;1;12.1;1.40;86;11.0;117.2;51;1021.0
5129;costa;4/5/2022;12:00;1;22.4;0.00;86;25.4;1.8;1;1012.2
5130;oriente;4/5/2022;12:00;1;25.2;1.20;74;28.3;271.5;51;1015.4
5131;sierra;5/5/2022;0:00;0;9.5;0.10;87;8.4;2.5;51;1021.4
5132;costa;5/5/2022;0:00;0;26.0;0.00;71;28.5;89.8;3;1011.4
5133;oriente;5/5/2022;0:00;0;20.3;0.00;86;22.4;5.8;3;1014.8
5134;sierra;5/5/2022;12:00;1;9.4;15.10;93;8.6;1.2;63;1022.7
5135;costa;5/5/2022;12:00;1;22.3;1.20;90;25.7;1.7;51;1012.9
5136;oriente;5/5/2022;12:00;1;20.1;12.70;98;23.0;0.0;61;1018.4
5137;sierra;6/5/2022;0:00;0;9.9;7.10;86;8.9;0.0;55;1021.5
5138;costa;6/5/2022;0:00;0;25.2;0.10;82;29.1;151.3;51;1012.6
5139;oriente;6/5/2022;0:00;0;18.6;0.00;93;20.9;0.0;3;1017.5
5140;sierra;6/5/2022;12:00;1;10.3;0.30;90;9.2;21.5;51;1023.0
5141;costa;6/5/2022;12:00;1;23.7;0.60;95;28.7;0.7;51;1013.9
5142;oriente;6/5/2022;12:00;1;26.4;0.00;60;28.4;358.7;0;1016.2
5143;sierra;7/5/2022;0:00;0;9.4;0.00;83;8.3;1.8;3;1022.5
5144;costa;7/5/2022;0:00;0;25.4;3.20;92;31.0;190.5;53;1011.4
5145;oriente;7/5/2022;0:00;0;19.5;0.60;92;22.1;6.3;51;1018.4
5146;sierra;7/5/2022;12:00;1;10.6;0.50;92;9.6;154.7;51;1023.7
5147;costa;7/5/2022;12:00;1;23.2;0.90;94;27.1;0.2;51;1012.6
5148;oriente;7/5/2022;12:00;1;23.2;0.60;79;26.2;111.5;51;1018.2
5149;sierra;8/5/2022;0:00;0;9.2;0.70;90;8.4;4.7;51;1022.3
5150;costa;8/5/2022;0:00;0;25.5;0.40;86;29.5;145.5;51;1011.5
5151;oriente;8/5/2022;0:00;0;19.0;2.30;98;21.8;0.8;51;1017.6
5152;sierra;8/5/2022;12:00;1;9.3;4.90;93;8.8;0.5;53;1024.1
5153;costa;8/5/2022;12:00;1;22.5;0.00;87;26.0;0.3;3;1012.4
5154;oriente;8/5/2022;12:00;1;26.0;0.10;60;27.2;291.3;51;1016.6
5155;sierra;9/5/2022;0:00;0;10.4;0.00;71;8.9;4.2;3;1020.7
5156;costa;9/5/2022;0:00;0;25.6;0.10;82;29.5;74.0;51;1008.6
5157;oriente;9/5/2022;0:00;0;19.0;0.00;90;20.8;7.5;3;1015.7
5158;sierra;9/5/2022;12:00;1;11.3;0.10;82;10.4;175.0;51;1021.6
5159;costa;9/5/2022;12:00;1;22.9;0.00;83;26.2;1.5;0;1010.9
5160;oriente;9/5/2022;12:00;1;26.4;0.20;57;27.9;181.7;51;1015.2
5161;sierra;10/5/2022;0:00;0;9.0;0.40;90;8.1;10.0;51;1020.9
5162;costa;10/5/2022;0:00;0;27.7;0.10;74;31.5;224.7;51;1009.4
5163;oriente;10/5/2022;0:00;0;19.6;0.00;87;21.5;4.7;3;1015.0
5164;sierra;10/5/2022;12:00;1;11.1;0.90;98;10.4;196.3;51;1021.4
5165;costa;10/5/2022;12:00;1;23.0;0.30;87;26.5;0.0;51;1012.2
5166;oriente;10/5/2022;12:00;1;26.6;0.20;63;28.8;327.5;51;1015.0
5167;sierra;11/5/2022;0:00;0;8.4;0.00;94;7.5;8.7;2;1020.6
5168;costa;11/5/2022;0:00;0;24.8;0.20;74;27.5;38.2;51;1011.9
5169;oriente;11/5/2022;0:00;0;19.3;0.00;92;21.7;4.7;2;1014.5
5170;sierra;11/5/2022;12:00;1;10.5;0.90;98;9.9;33.3;51;1020.6
5171;costa;11/5/2022;12:00;1;21.5;0.00;86;24.3;2.2;0;1012.1
5172;oriente;11/5/2022;12:00;1;26.1;0.40;68;28.7;306.7;51;1014.2
5173;sierra;12/5/2022;0:00;0;9.1;0.20;93;8.4;5.2;51;1020.1
5174;costa;12/5/2022;0:00;0;26.2;0.00;70;29.3;141.0;2;1009.5
5175;oriente;12/5/2022;0:00;0;19.4;0.00;92;21.8;2.7;3;1014.6
5176;sierra;12/5/2022;12:00;1;9.9;1.90;98;8.7;9.7;51;1021.2
5177;costa;12/5/2022;12:00;1;21.6;0.70;91;24.8;2.5;51;1010.6
5178;oriente;12/5/2022;12:00;1;24.6;4.50;85;29.4;108.3;53;1015.1
5179;sierra;13/5/2022;0:00;0;9.2;0.60;98;8.6;6.0;51;1020.7
5180;costa;13/5/2022;0:00;0;26.4;0.00;75;29.5;203.8;1;1008.7
5181;oriente;13/5/2022;0:00;0;19.4;1.20;98;22.2;4.0;51;1015.7
5182;sierra;13/5/2022;12:00;1;10.2;1.60;90;9.3;1.8;51;1020.5
