id;velocidad_viento_10m;presion_superficie;temp_suelo_7cm;humedad_suelo_7cm;temp_suelo_250cm
5847;5.0;891.2;19.6;0.304;21.2
5848;8.4;716.8;13.9;0.393;10.3
5849;3.4;1013.2;23.8;0.298;25.7
5850;4.3;894.4;23.6;0.303;21.2
5851;1.6;712.7;7.8;0.384;10.3
5852;16.3;1009.7;28.5;0.297;25.7
5853;4.7;890.5;20.3;0.301;21.2
5854;6.8;716.8;14.5;0.376;10.3
5855;4.0;1012.1;23.0;0.298;25.7
5856;5.4;894.7;24.2;0.302;21.2
5857;1.5;714.5;8.5;0.391;10.3
5858;15.1;1010.3;28.4;0.298;25.7
5859;3.7;892.3;20.3;0.348;21.2
5860;5.2;715.8;9.5;0.430;10.2
5861;3.4;1011.6;23.7;0.299;25.7
5862;11.5;895.4;23.0;0.369;21.2
5863;0.7;714.5;8.2;0.417;10.2
5864;12.3;1010.0;28.7;0.297;25.7
5865;6.4;892.9;19.0;0.350;21.2
5866;7.2;716.7;10.9;0.423;10.2
5867;6.6;1012.5;23.5;0.298;25.7
5868;5.0;896.4;22.1;0.342;21.2
5869;1.1;714.5;8.5;0.414;10.2
5870;10.0;1010.2;28.2;0.295;25.7
5871;6.2;893.5;20.0;0.324;21.2
5872;4.1;716.0;8.7;0.437;10.2
5873;5.5;1013.3;23.9;0.297;25.7
5874;11.4;896.8;22.9;0.323;21.2
5875;1.1;715.0;7.7;0.411;10.2
5876;14.5;1011.5;28.9;0.296;25.7
5877;4.6;895.7;20.9;0.317;21.2
5878;7.1;717.4;10.6;0.405;10.2
5879;4.1;1014.6;23.5;0.298;25.7
5880;4.6;897.8;21.0;0.356;21.2
5881;1.1;715.8;8.3;0.395;10.2
5882;14.4;1012.2;29.5;0.295;25.7
5883;5.5;894.6;19.7;0.326;21.2
5884;4.8;717.3;9.9;0.400;10.2
5885;12.0;1015.4;24.2;0.295;25.7
5886;7.9;897.0;23.9;0.321;21.2
5887;0.5;714.9;8.0;0.387;10.2
5888;12.0;1012.9;27.0;0.297;25.7
5889;4.9;892.8;20.8;0.313;21.2
5890;6.5;717.4;14.9;0.374;10.2
5891;7.2;1014.2;23.9;0.298;25.7
5892;4.0;894.7;24.4;0.306;21.2
5893;1.9;712.9;7.9;0.361;10.2
5894;15.0;1009.6;28.3;0.298;25.7
5895;5.9;891.0;20.5;0.289;21.2
5896;7.2;717.4;14.5;0.358;10.2
5897;4.0;1012.8;22.8;0.298;25.7
5898;5.5;895.1;24.2;0.288;21.2
5899;1.8;714.6;9.6;0.359;10.2
5900;15.1;1009.3;28.7;0.300;25.7
5901;6.5;894.5;20.2;0.348;21.2
5902;6.1;716.9;9.9;0.410;10.2
5903;1.8;1014.2;23.1;0.302;25.7
5904;4.7;897.3;20.9;0.334;21.2
5905;2.3;716.1;7.4;0.400;10.2
5906;10.0;1012.4;28.0;0.296;25.7
5907;4.0;895.8;20.9;0.294;21.2
5908;7.3;718.7;14.1;0.387;10.2
5909;2.5;1015.6;23.3;0.296;25.7
5910;5.8;897.3;23.3;0.288;21.2
5911;2.1;715.6;7.3;0.401;10.1
5912;9.0;1013.3;27.9;0.301;25.7
5913;4.9;892.8;20.0;0.279;21.2
5914;7.3;717.6;15.2;0.381;10.1
5915;2.7;1014.8;22.7;0.303;25.7
5916;2.5;895.7;24.1;0.274;21.2
5917;1.3;714.2;8.3;0.364;10.1
5918;12.1;1010.9;27.8;0.306;25.7
5919;4.9;894.0;21.7;0.263;21.2
5920;6.5;717.2;15.8;0.357;10.1
5921;4.0;1014.2;22.7;0.307;25.7
5922;3.7;894.9;20.8;0.406;21.2
5923;4.4;712.8;9.3;0.349;10.1
5924;13.4;1010.4;28.4;0.305;25.7
5925;1.5;891.3;20.3;0.356;21.2
5926;8.1;716.5;14.0;0.356;10.1
5927;5.0;1013.0;22.9;0.305;25.7
5928;3.4;894.8;22.8;0.402;21.2
5929;3.8;714.3;9.8;0.358;10.1
5930;7.4;1011.5;27.5;0.307;25.7
5931;3.6;893.5;20.3;0.406;21.2
5932;8.0;717.3;14.8;0.354;10.1
5933;2.2;1014.7;22.4;0.309;25.7
5934;3.6;895.2;24.2;0.399;21.2
5935;1.0;714.7;10.0;0.367;10.1
5936;15.3;1011.6;28.2;0.307;25.7
5937;5.4;892.7;20.8;0.410;21.2
5938;4.7;715.5;10.1;0.439;10.1
